Organization,Link,Sentence,isWayback,Label,Generality,Approximation,Degree,Combinatory,Explicit Subjectivity,Vagueness Label
Enbridge,https://www.enbridge.com/media-center/news/details?id=123715&lang=en,"We look forward to working with project partners Capital Power and Lehigh Cement, along with our local Indigenous partners, to advance the Hub, creating jobs and economic growth, and helping Alberta and Canada meet emissions reduction goals.""",False,1,,,,,our,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/05/0502-Q124-Front-End.pdf,Canadian Natural has a defined pathway to achieve long-term emissions reductions with an integrated GHG emissions management strategy that includes ongoing investments in technology and innovation while transferring technology across the Company.,True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1257/06/1107_q319-front-end.pdf,"The project has the potential to reduce the Company's carbon emissions and environmental footprint by reducing the distance driven by its fleet of haul trucks, the size and need for tailings ponds and accelerating site reclamation.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/8b662902-b799-487e-a4dd-e006a2e9d1ef,Pembina supports green initiatives and has communicated its commitments to procure renewable green energy to offset the power used at the facility.,False,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/b2ba241c-3287-4179-9dac-7e925621f35b,"For Canada to achieve its enhanced climate targets, including a 40-45% reduction in greenhouse gas emissions below 2005 levels by 2030, CCUS technology and infrastructure will need to play a vital role.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220704153124/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-11-13-suncor-energy-board-approves-2010-capital-spending-plan-en.pdf?modified=20210902050535,"'Suncor's overall spending profile is consistent with the key priorities we've outlined: staged capital growth, cost reduction and continuous improvement of environmental performance,' said George.",True,1,,,,,,1
Imperial Oil,68,The positive impact those facilities have on the province-wide greenhouse gas emissions varies depending on annual facility energy consumption.,True,1,,,wide,positive,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123665&lang=en,"Over the past several years, we have firmly established Enbridge as a competitive player in offshore wind in Europe and developed an extensive portfolio of projects.",True,1,"a, an, several",,,competitive,we,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123817&lang=en,Commissioning Fécamp is a significant step in advancing the clean energy transition in France and Europe.,True,1,a,,,"clean, significant",,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123703&lang=en,"Last week, Enbridge and Capital Power agreed to jointly evaluate and advance a carbon capture and sequestration (CCS) project, with Enbridge as the transportation and storage service provider and Capital Power as the CO2 provider, subject to the Government of Alberta's competitive carbon hub selection process and a future final investment decision.",True,1,,,,,,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/05/0502-Q124-Front-End.pdf,"Canadian Natural has been piloting solvent enhanced oil recovery technology on certain thermal in situ assets with an objective to increase bitumen production while reducing the Steam to Oil Ratio (""SOR"") and GHG intensities by 40% to 50% and optimizing solvent recovery.",True,1,,,,,,0
Shell Canada,http://web.archive.org/web/20170911225637/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2015/quest-climate-grant.html,"The clothing is manufactured using zero virgin growth within a 320-km production radius to minimize environmental impacts and reduce or eliminate water, petroleum, and C02 waste.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123697&lang=en,"Entered into a memorandum of understanding (MoU) with Shell to develop North American low-carbon energy solutions, focused on hydrogen, renewables, and carbon capture",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123760&lang=en,"Established in 2019, Maple Power, together with its partners and shareholders, manages a portfolio of 3.2 GW (gross) of European offshore wind projects.",False,1,a,,,,,0
Suncor Energy,http://web.archive.org/web/20220703210552/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-09-22-suncor-energy-advances-wintering-hills-wind-power-project-en.pdf?modified=20210902050608,'Alberta needs continued investments in good wind projects if it wants to become a serious player in clean energy.,True,1,a,,,"clean, good, serious",,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/f89cb2da-6824-4a73-8318-af8fde4a799c,"Pembina will continue to invest in infrastructure to serve customers and enhance its integrated value chain, while also pursuing opportunities in the new ventures portfolio that align with the Company's strategy to enhance access to global markets and better align its future with the transition to a lower-carbon economy.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123656&lang=en,"""Sustainability is integral to our ability to safely and reliably deliver the energy people need and want.",True,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20230608050008/https://news.imperialoil.ca/news-releases/news-releases/2023/Imperial-appoints-Senior-Vice-President-Sustainability-Commercial-Development-and-Product-Solutions/default.aspx,"""Imperial recognizes the importance of advancing climate solutions within our operations, as well as providing lower life-cycle emissions products to our customers,"" said Brad Corson, Chairman, President and Chief Executive Officer.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220701130341/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-03-03-suncor-energy-reports-2010-fourth-quarter-results-en.pdf?modified=20210902050623,"the plans for the Wintering Hills wind power project, including targeted completion by the end of 2011 and the expectation that the project will be able to generate enough electricity to power approximately 35,000 Alberta homes and displace 200,000 tonnes of CO2 per year; and",True,1,,approximately,enough,,,0
Shell Canada,http://web.archive.org/web/20170911225000/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2015/oil-sands-companies-demonstrate-leadership-on-climate-change.html,Four of Canada's largest oil sands producers have come together in support of the Government of Alberta's climate plan.,True,1,,,largest,,,1
Shell Canada,https://www.shell.com/news-and-insights/newsroom/news-and-media-releases/2024/shell-to-build-carbon-capture-and-storage-projects-in-canada.html,CO2 emissions captured by Polaris will be sent to the Atlas Hub via an approximately 22-kilometre pipeline to two storage wells.,False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20221007083517/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2019/2019-09-09-suncor-proceeds-with-cogen-en.pdf?modified=20220921202841,Suncor's greenhouse gas (GHG) emissions associated with steam production at Base Plant will be reduced by approximately 25%,True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123670&lang=en,Enbridge partners with Walker Industries and Comcor Environmental to develop renewable natural gas projects across Canada,False,1,,,,natural,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123700&lang=en,"The Genesee CCS Project is expected to capture up to 3 million tonnes of CO2 annually from the repowered units, which would be transported and stored through Enbridge's open access carbon hub that could also serve several other local industrial companies.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123788&lang=en,"The project is expected to be immediately accretive to DCF per share and will be complementary to both our growth outlook and energy transition leadership"" said Matthew Akman, Executive Vice President Corporate Strategy and President, Power.",True,1,,,,,,1
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2024/Imperial-announces-third-quarter-2024-financial-and-operating-results/default.aspx,"When completed, the project is expected to have a capacity of more than one billion litres of renewable diesel annually.",False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123674&lang=en,"""ESG leadership is essential to our strategy, and that's why we've been integrating sustainability, diversity and community engagement practices into our operations for over two decades and continue to set new goals for ourselves.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007095721/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-05-26-nr-su-corporate-strategy-update-en.pdf?modified=20220907174616,This includes Suncor helping its customers contribute to a net-zero world by providing them with cleaner energy choices such as renewable fuels and the Petro-CanadaTM Electric Highway.,True,1,a,,,clean,,1
